,0,1,2,3,4
131,Tiny Town,AOC L22H998 ENVISION,Huawei Y6,Canon PowerShot SX410 IS,Lenovo Yoga 730-13IKB
132,Xiaomi Mi Note 2,LG K30,Amazon Kindle Fire HD 10,AXESS SPBT1031,Samsung Notebook 9 Pro
133,Sony Xperia 1,Nuu Mobile G3+,HTC One,Sony Cyber-shot DSC-RX10,Lenovo ThinkPad
134,Coolpad Legacy,Apple iPhone 4,HTC 10,FUJIFILM X-T20,ASUS Transformer Mini T102HA
135,Google Nexus 9,BlackBerry KEY2,Huawei P8 Lite,Olympus OM-D E-M10,Dell XPS 13 (9343)
136,Motorola Moto Z4,Nudeaudio Super M,LG 40LH5300 LH5300 Series,Samsung HT-J5500W,Razer Blade Stealth
137,Samsung Galaxy Luna,Google Nexus One,Samsung Galaxy J3 V 2018,Sony Alpha a9,Lenovo Miix 720
138,Motorola moto Z2 FORCE DroID,Samsung Galaxy J2,Samsung UN75NU6900F 6 Series,Panasonic Lumix S1M,Getac S410
139,Google Nexus 7,Motorola Moto G Plus 4G (4TH Gen.),LG K10,Canon EOS 5D Mark III,Lenovo ThinkCentre M73
140,Canon Ivy CLIQ,Samsung Galaxy Note5,Sony XPERIA XZ Premium,PENTAX K-3 II,Dell XPS 13 (L321X)
141,Apple Watch Series 3 (GPS + Cellular),Samsung Galaxy Note 4,HUAWEI Mate X,Canon PowerShot G7 X Mark III,Lenovo ThinkPad P1
142,Samsung Galaxy S7 Edge,Xiaomi Redmi Note 7,Samsung Galaxy Note 10 5G,Panasonic LUMIX G DC-GH5,Lenovo ThinkPad T490S
143,Xiaomi Redmi Note 5,LG K20 Plus (TP260),LG Phoenix 3,Panasonic Lumix DC-FZ80,Alienware M17XR4
144,HTC One (M8),LG Smart ThinQ LFX31995ST,BLU Vivo Go,FUJIFILM X-A3,Acer TravelMate P645-S
145,Huawei Mate 10 Pro,Google Pixel C,Nokia 2 V,Epson Expression Premium XP-7100 Small-In-One,Lenovo Yoga 730-15IKB
146,Google Pixel 3A,Sony XPERIA XZ2,Nokia N1,Panasonic Lumix DC-ZS200,Dell Inspiron 5559
147,Huawei P10,Samsung Galaxy S10,Xiaomi Shark,OLYMPUS Tough TG-5,Lenovo G51-35 80M8
